№	Context	Dominant response	Number of completions	Ommitted completions or no completion	Number of unique responses	Alternative completions	Percentage of ending agreement %EA	H-statistic	Frequency (ipm)	Number of syllables	ART	ART'
93	Посетители радостно фотографировались на фоне	памятника	84	2	52	памятника 9, картины 4, фонтана 4, елки 4, башни 3, замка 3, достопримечательностей 3, деревьев 2, слона 2, пейзажа 2, эйфелевой башни 2, выставки 2, заката 2, статуи 2, водопада 2, дома 2, чучела 1, библиотеки 1, крокодила 1, борща 1, дерева 1, скамьи 1, Кремля 1, стола 1, зоопарка 1, облаков 1, звезды 1, мэра 1, Красной Площади 1, сада 1, айзберга 1, генерала 1, достопримечательности 1, асфальта 1, Эйфелевой башни 1, берез 1, обезьянки 1, дворца 1, музея 1, пожара 1, моря 1, вольера 1, местных достопримечательностей 1, фонана 1, китайцев 1, здания 1, кремля 1, карет 1, гор 1, озера 1, лебедя 1, меня 1	10.714286	5.382865	63.8	4	2354.440476	2151.309524
94	Депутат обвинил мэра в	коррупции	84	2	32	коррупции 30, воровстве 6, взятке 4, лжи 4, взяточничестве 3, краже 3, мошенничестве 3, измене 3, преступлении 2, халатности 2, растрате 2, некомпетентности 2, кокетничестве 1, предательстве 1, взяточниство 1, мошинничестве 1, взяточнистве 1, проступке 1, взятках 1, изнасиловании 1, взятничестве 1, подлоге 1, мздоимстве 1, недобропорядочности 1, нечестности 1, - 1, махинациях 1, расточительстве 1, растратах 1, тунеядстве 1, недостаточном усердии 1, превышении полномочий 1	35.714286	3.943079	23.0	4	1893.309524	1817.452381
95	Выходя из дома, я забыла взять 	ключи	85	1	22	ключи 28, зонт 17, телефон 7, зонтик 6, сумку 4, деньги 3, паспорт 2, кошелек 2, шапку 2, голову 2, портфель 1, документы 1, пропуск 1, проездной 1, шарф 1, шубу 1, ключ 1, носки 1, помаду 1, ноутбук 1, пуанты 1, бумажник 1	32.941176	3.350462	78.0	2	1713.247059	1578.011765
96	Директор ещё не вернулся из	отпуска	86	0	12	отпуска 41, командировки 33, школы 3, бани 1, санатория 1, боя 1, поездки 1, декрета 1, деревни 1, администрации 1, дома 1, комнадировки 1	47.674419	1.881154	44.8	3	1321.953488	1152.534884
97	В этом кафе студент всегда заказывал	пиццу	86	0	27	пиццу 20, кофе 17, чай 9, суп 4, торт 3, салат 3, суши 3, борщ 3, пунш 2, латте 2, одно и то же 2, обед 2, мороженое 2, поесть 1, пиво 1, яичницу 1, пиццу  1, сырники 1, пончики 1, мохито 1, капучино 1, бизнес-ланч 1, брокколи 1, еду 1, бутерброд 1, яишницу 1, пироженое 1	23.255814	3.850982	3.3	2	1895.523256	1785.558140
98	Графиня хранила драгоценности в 	шкатулке	84	2	19	шкатулке 39, шкафу 10, сейфе 8, сундуке 6, ящике 3, комоде 3, чемодане 2, ларце 2, подушке 1, комнате 1, потайном шкафу 1, серванте 1, ушах 1, ночном горшке 1, кошельке 1, сундучке 1, вазе 1, кувшине 1, шкатудке 1	46.428571	2.911728	5.3	3	1608.130952	1382.369048
99	На праздник мама подарила сыну	велосипед	86	0	48	велосипед 10, машину 9, машинку 6, телефон 5, подарок 4, игрушку 3, компьютер 3, книгу 2, конструктор 2, автомобиль 2, гитару 2, самокат 2, обувь 1, робота 1, дерево 1, коньки 1, компот 1, платок 1, самолетик 1, мяч 1, колье 1, - 1, ящик 1, трактор 1, шар 1, пальто 1, медвежонка 1, айфон 1, пакет 1, торт 1, футбольный мяч 1, паровоз 1, отвертку 1, компьютере 1, трансформера 1, каякерское весло 1, шоколадку 1, кружку 1, кофту 1, деньги 1, автомат 1, игрушки 1, самолет 1, конфету 1, вертолетик 1, брюки 1, вертолет 1, шкаф 1	11.627907	5.073035	23.1	4	2074.453488	1959.755814
100	Художник изобразил на картине	пейзаж	85	1	47	пейзаж 10, море 8, девушку 5, закат 4, себя 4, дерево 3, лес 3, солнце 3, пятно 2, женщину 2, - 2, натюрморт 2, апельсин 2, гору 2, лошадь 1, лед 1, скамью 1, корабль 1, баню 1, цветы 1, балерину 1, озеро 1, жирафа 1, нож 1, портрет 1, полоску 1, кота 1, ливень 1, пса 1, львов 1, лук 1, маслом 1, крота 1, квадрат 1, осень 1, поэта 1, енота 1, дом 1, Машу 1, женщин 1, лето 1, рисунок 1, природу 1, вазу 1, стадо 1, Моне 1, нечто 1	11.764706	5.102408	24.3	2	2195.658824	2063.988235
101	Мы вернулись в кафе и забрали забытый	телефон	85	1	23	телефон 20, кошелек 14, зонт 9, чемодан 6, портфель 6, рюкзак 5, зонтик 4, шарф 3, чай 2, пенал 2, пакет 2, мешок 1, предмет 1, компьютер 1, пиджак 1, паспорт 1, счет 1, девайс 1, билет 1, кофе 1, ноутбук 1, стул 1, планшет 1	23.529412	3.707568	167.8	3	2116.388235	1959.211765
102	Наместник императора прославился своей	жестокостью	85	1	43	жестокостью 21, храбростью 6, хитростью 4, работой 3, щедростью 3, гордостью 3, находчивостью 2, победой 2, добротой 2, красотой 2, алчностью 2, жадностью 2, преданностью 2, эрудицией 2, тупостью 1, доблестью 1, мудростью 1, пунктуальностью 1, заботой 1, повюедой 1, арфой 1, решительностью 1, убедительностью 1, привлекательностью 1, политикой 1, безграмотносью 1, неуживчивостью 1, искренностью 1, силой 1, учтивостью 1, твердолобостью 1, честностью 1, черствостью 1, изысканностью 1, внешностью 1, гостеприимностью 1, превосходность/непревзойденностью 1, сдержанностью 1, женой 1, предосудительностью 1, грамотностью 1, вспыльчивостью 1, добродушностью 1	24.705882	4.691590	15.8	4	2332.211765	2127.600000
